record,name,year,debut,region,team,pos,gp,k
-x--------x,Violet,2021,2012,OCE,PEACE,ADC,15,52
--xxxxx-x-x,Faker,2021,2013,KR,T1,Middle,115,419
--x-xxxx--x,Maple,2021,2013,PCS,PSG Talon,Middle,39,135
---xxx-x-xx,Deft,2021,2014,KR,Hanwha Life Esports,ADC,70,283
----xxxxxxx,Jensen,2021,2015,NA,Team Liquid,Middle,80,283
----xxxx--x,Meiko,2021,2015,CN,EDward Gaming,Support,64,49
----xx----x,Odoamne,2021,2015,EU,Rogue,Top,27,63
----x----xx,Santorin,2021,2015,NA,Team Liquid,Jungle,19,32
----x--x--x,Ssumday,2021,2015,NA,100 Thieves,Top,22,66
----xxx---x,Zven,2021,2015,NA,Cloud9,ADC,43,151
-----xxxxxx,CoreJJ,2021,2016,NA,Team Liquid,Support,61,55
-----x----x,huhi,2021,2016,NA,100 Thieves,Support,12,37
-----xxxxxx,Perkz,2021,2016,NA,Cloud9,Middle,86,316
-----xxx-xx,Ruler,2021,2016,KR,Gen.G,ADC,64,221
-----xxx--x,Scout,2021,2016,CN,EDward Gaming,Middle,51,186
-----xxxx-x,Xiaohu,2021,2016,CN,Royal Never Give Up,Top,55,140
------x--xx,Bdd,2021,2017,KR,Gen.G,Middle,34,109
------xxx-x,Evi,2021,2017,LJL,DetonatioN FocusMe,Top,27,56
------x--xx,Hans sama,2021,2017,EU,Rogue,ADC,26,94
------x-xxx,Kaiwing,2021,2017,PCS,PSG Talon,Support,39,25
------x-x-x,Khan,2021,2017,KR,DWG KIA,Top,41,151
------xxx-x,Ming,2021,2017,CN,Royal Never Give Up,Support,45,32
------x--xx,Rascal,2021,2017,KR,Gen.G,Top,23,65
------x-xxx,Unified,2021,2017,PCS,PSG Talon,ADC,35,89
------x---x,WhiteLotus,2021,2017,LAM,INFINITY,ADC,11,39
-------xx-x,Blaber,2021,2018,NA,Cloud9,Jungle,28,96
-------xxxx,Bwipo,2021,2018,EU,Fnatic,Jungle,40,112
-------x-xx,Hanabi,2021,2018,PCS,PSG Talon,Top,24,68
-------xxxx,Hylissang,2021,2018,EU,Fnatic,Support,44,37
-------x--x,Liang,2021,2018,PCS,Beyond Gaming,Top,18,44
-------x-xx,PK,2021,2018,PCS,Beyond Gaming,Top,24,38
-------x--x,SolidSnake,2021,2018,LAM,INFINITY,Jungle,12,23
-------xx-x,Steal,2021,2018,LJL,DetonatioN FocusMe,Jungle,23,40
-------x--x,TitaN,2021,2018,BRL,RED Canids,ADC,14,48
-------xx-x,Yutapon,2021,2018,LJL,DetonatioN FocusMe,ADC,23,79
--------xxx,AHaHaCiK,2021,2019,CIS,Unicorns of Love.CIS,Jungle,30,78
--------xxx,Armut,2021,2019,EU,MAD Lions,Top,31,98
--------xxx,Babip,2021,2019,OCE,PEACE,Jungle,25,69
--------xxx,BeryL,2021,2019,KR,DWG KIA,Support,54,59
--------xxx,BOSS,2021,2019,CIS,Unicorns of Love.CIS,Top,30,97
--------x-x,Buggax,2021,2019,LAM,INFINITY,Top,12,47
--------xxx,Canyon,2021,2019,KR,DWG KIA,Jungle,64,193
--------xxx,Chovy,2021,2019,KR,Hanwha Life Esports,Middle,37,87
--------x-x,Closer,2021,2019,NA,100 Thieves,Jungle,14,32
--------x-x,Doinb,2021,2019,CN,FunPlus Phoenix,Middle,25,91
--------x-x,Fudge,2021,2019,NA,Cloud9,Top,23,70
--------x--,Gaeng,2021,2019,LJL,DetonatioN FocusMe,Support,15,12
--------xxx,Humanoid,2021,2019,EU,MAD Lions,Middle,41,149
--------x-x,Lwx,2021,2019,CN,FunPlus Phoenix,ADC,25,131
--------x-x,Nisqy,2021,2019,EU,Fnatic,Middle,12,29
--------xxx,Nomanz,2021,2019,CIS,Unicorns of Love.CIS,Middle,30,111
--------xxx,Nuguri,2021,2019,CN,FunPlus Phoenix,Top,42,106
--------xxx,ShowMaker,2021,2019,KR,DWG KIA,Middle,54,216
--------x-x,Tarzan,2021,2019,CN,LNG Esports,Jungle,22,70
--------x-x,Tian,2021,2019,CN,FunPlus Phoenix,Jungle,25,81
--------x-x,Viper,2021,2019,CN,EDward Gaming,ADC,32,127
--------x-x,Vizicsacsi,2021,2019,OCE,PEACE,Top,32,81
--------x-x,Vulcan,2021,2019,NA,Cloud9,Support,32,28
---------xx,Bolulu,2021,2020,TRK,Galatasaray Esports,Middle,21,52
---------xx,Carzzy,2021,2020,EU,MAD Lions,ADC,21,70
---------xx,Ghost,2021,2020,KR,DWG KIA,ADC,36,138
---------x-,Inspired,2021,2020,EU,Rogue,Jungle,14,41
---------xx,Kaiser,2021,2020,EU,MAD Lions,Support,21,21
---------xx,Keria,2021,2020,KR,T1,Support,23,20
---------xx,Larssen,2021,2020,EU,Rogue,Middle,14,34
---------xx,Life,2021,2020,KR,Gen.G,Support,25,29
---------xx,River,2021,2020,PCS,PSG Talon,Jungle,12,26
---------xx,SaNTaS,2021,2020,CIS,Unicorns of Love.CIS,Support,19,3
---------xx,Tactical,2021,2020,NA,Team Liquid,ADC,18,54
---------xx,Tally,2021,2020,OCE,PEACE,Middle,20,54
----------x,Abbedagge,2021,2021,NA,100 Thieves,Middle,6,15
----------x,Ackerman,2021,2021,LAM,INFINITY,Support,4,0
----------x,Adam,2021,2021,EU,Fnatic,Top,6,26
----------x,Aegis,2021,2021,BRL,RED Canids,Jungle,9,19
----------x,Aladoric,2021,2021,OCE,PEACE,Support,12,9
----------x,Ale,2021,2021,CN,LNG Esports,Top,11,50
----------x,Alive,2021,2021,TRK,Galatasaray Esports,ADC,9,36
----------x,Alphari,2021,2021,NA,Team Liquid,Top,7,19
----------x,Argonavt,2021,2021,CIS,Unicorns of Love.CIS,ADC,5,7
----------x,Aria,2021,2021,LJL,DetonatioN FocusMe,Middle,11,27
----------x,Avenger,2021,2021,BRL,RED Canids,Middle,2,4
----------x,BEAN,2021,2021,EU,Fnatic,ADC,6,24
----------x,Burdol,2021,2021,KR,Gen.G,Top,3,10
----------x,Canna,2021,2021,KR,T1,Top,14,37
--------xxx,Clid,2021,2019,KR,Gen.G,Jungle,39,111
----------x,cody,2021,2021,LAM,INFINITY,Middle,4,4
----------x,Crazy,2021,2021,TRK,Galatasaray Esports,Top,9,26
----------x,Crisp,2021,2021,CN,FunPlus Phoenix,Support,7,6
----------x,Cryin,2021,2021,CN,Royal Never Give Up,Middle,12,31
----------x,Doggo,2021,2021,PCS,Beyond Gaming,ADC,13,77
----------x,Elyoya,2021,2021,EU,MAD Lions,Jungle,11,33
----------x,FBI,2021,2021,NA,100 Thieves,ADC,6,23
----------x,Flandre,2021,2021,CN,EDward Gaming,Top,21,56
----------x,GALA,2021,2021,CN,Royal Never Give Up,ADC,12,51
----------x,Grevthar,2021,2021,BRL,RED Canids,Middle,7,16
----------x,Guigo,2021,2021,BRL,RED Canids,Top,9,22
----------x,Gumayusi,2021,2021,KR,T1,ADC,14,49
----------x,HuSha,2021,2021,PCS,Beyond Gaming,Jungle,13,43
----------x,icon,2021,2021,CN,LNG Esports,Middle,11,36
----------x,Iwandy,2021,2021,CN,LNG Esports,Support,4,3
----------x,Iwandy,2021,2021,CN,LNG Esports,Support,7,5
----------x,Jiejie,2021,2021,CN,EDward Gaming,Jungle,21,47
----------x,Jojo,2021,2021,BRL,RED Canids,Support,9,6
----------x,Kino,2021,2021,PCS,Beyond Gaming,Support,13,11
----------x,Light,2021,2021,CN,LNG Esports,ADC,11,36
----------x,Maoan,2021,2021,PCS,Beyond Gaming,Middle,10,29
----------x,Mojito,2021,2021,TRK,Galatasaray Esports,Jungle,9,31
----------x,Morgan,2021,2021,KR,Hanwha Life Esports,Top,17,37
----------x,Oner,2021,2021,KR,T1,Jungle,14,44
----------x,Trymbi,2021,2021,EU,Rogue,Support,8,6
----------x,Vsta,2021,2021,KR,Hanwha Life Esports,Support,17,14
----------x,Wei,2021,2021,CN,Royal Never Give Up,Jungle,12,53
----------x,Willer,2021,2021,KR,Hanwha Life Esports,Jungle,17,60
----------x,Zergsting,2021,2021,TRK,Galatasaray Esports,Support,9,7
xx--xxxxxx-,Doublelift,2020,2011,NA,TSM,ADC,47,113
--x--xxxxx-,Impact,2020,2013,NA,Team Liquid,Top,86,210
--x-xxxx-x-,SwordArt,2020,2013,CN,Suning,Support,52,50
--xxx----x-,WildTurtle,2020,2013,NA,FlyQuest,ADC,48,171
---xxxxx-x-,Bjergsen,2020,2014,NA,TSM,Middle,35,110
---xxx-x-xx,Deft,2020,2014,KR,DRX,ADC,70,283
---xx-xxxx-,Rekkles,2020,2014,EU,Fnatic,ADC,75,277
----xxxxxxx,Jensen,2020,2015,NA,Team Liquid,Middle,80,283
----x----x-,KaKAO,2020,2015,TRK,SuperMassive Esports,Jungle,18,45
----xxxxxx-,Karsa,2020,2015,CN,Top Esports,Jungle,52,135
----x--x-x-,Kramer,2020,2015,CN,LGD Gaming,ADC,27,85
----x----xx,Santorin,2020,2015,NA,FlyQuest,Jungle,19,32
-----xx--x-,Biofrost,2020,2016,NA,TSM,Support,19,9
-----xxxxxx,CoreJJ,2020,2016,NA,Team Liquid,Support,61,55
-----x-xxx-,Jankos,2020,2016,EU,G2 Esports,Jungle,69,190
-----x---x-,micaO,2020,2016,BRL,INTZ,ADC,11,17
-----x--xx-,Mikyx,2020,2016,EU,G2 Esports,Support,38,34
-----xx--x-,Peanut,2020,2016,CN,LGD Gaming,Jungle,33,126
-----xxxxxx,Perkz,2020,2016,EU,G2 Esports,ADC,86,316
-----xxx-xx,Ruler,2020,2016,KR,Gen.G,ADC,64,221
-----x---x-,Vander,2020,2016,EU,Rogue,Support,19,20
-----x-xxx-,Wunder,2020,2016,EU,G2 Esports,Top,62,163
------x--xx,Bdd,2020,2017,KR,Gen.G,Middle,34,109
------xxxx-,Broxah,2020,2017,NA,Team Liquid,Jungle,57,156
------xxxx-,caPs,2020,2017,EU,G2 Esports,Middle,68,249
------x--x-,Gemini,2020,2017,PCS,Machi Esports,Jungle,7,20
------x--xx,Hans sama,2020,2017,EU,Rogue,ADC,26,94
------x--x-,IgNar,2020,2017,NA,FlyQuest,Support,18,11
------x-xxx,Kaiwing,2020,2017,PCS,PSG Talon,Support,39,25
------x-xx-,Mission,2020,2017,PCS,Machi Esports,Middle,28,58
------x--x-,PowerOfEvil,2020,2017,NA,FlyQuest,Middle,18,55
------x--xx,Rascal,2020,2017,KR,Gen.G,Top,23,65
------x--x-,RedBert,2020,2017,BRL,INTZ,Support,14,11
------x-xxx,Unified,2020,2017,PCS,PSG Talon,ADC,35,89
------x--x-,xiye,2020,2017,CN,LGD Gaming,Middle,39,155
-------xxxx,Bwipo,2020,2018,EU,Fnatic,Top,40,112
-------x-xx,Hanabi,2020,2018,PCS,PSG Talon,Top,24,68
-------xxxx,Hylissang,2020,2018,EU,Fnatic,Support,44,37
-------xxx-,JackeyLove,2020,2018,CN,Top Esports,ADC,47,201
-------xxx-,Koala,2020,2018,PCS,Machi Esports,Support,26,28
-------x-x-,Kongyue,2020,2018,PCS,PSG Talon,Jungle,9,39
-------x-xx,PK,2020,2018,PCS,Machi Esports,Top,24,38
-------x-x-,SnowFlower,2020,2018,TRK,SuperMassive Esports,Support,21,14
-------x-x-,Uniboy,2020,2018,PCS,PSG Talon,Middle,11,32
-------x-x-,Zeitnot,2020,2018,TRK,SuperMassive Esports,ADC,21,85
--------xxx,AHaHaCiK,2020,2019,CIS,Unicorns of Love.CIS,Jungle,30,78
--------xxx,Armut,2020,2019,TRK,SuperMassive Esports,Top,31,98
--------xxx,Babip,2020,2019,OCE,Legacy Esports,Jungle,25,69
--------xxx,BeryL,2020,2019,KR,DWG KIA,Support,54,59
--------xxx,BOSS,2020,2019,CIS,Unicorns of Love.CIS,Top,30,97
--------xxx,Canyon,2020,2019,KR,DWG KIA,Jungle,64,193
--------xxx,Chovy,2020,2019,KR,DRX,Middle,37,87
--------xxx,Clid,2020,2019,KR,Gen.G,Jungle,39,111
--------xxx,Humanoid,2020,2019,EU,MAD Lions,Middle,41,149
--------xx-,Langx,2020,2019,CN,LGD Gaming,Top,23,62
--------xx-,Nemesis,2020,2019,EU,Fnatic,Middle,21,61
--------xxx,Nomanz,2020,2019,CIS,Unicorns of Love.CIS,Middle,30,111
--------xxx,Nuguri,2020,2019,KR,DWG KIA,Top,42,106
--------xxx,ShowMaker,2020,2019,KR,DWG KIA,Middle,54,216
---------x-,369,2020,2020,CN,Top Esports,Top,15,40
---------x-,Acce,2020,2020,LLA,Rainbow7,Top,7,13
---------x-,Ace,2020,2020,LJL,V3 Esports,Middle,5,11
---------x-,Aloned,2020,2020,LLA,Rainbow7,Middle,7,23
---------x-,Angel,2020,2020,CN,Suning,Middle,19,64
---------x-,Archer,2020,2020,LJL,V3 Esports,ADC,5,18
---------x-,Bin,2020,2020,CN,Suning,Top,19,74
---------xx,Bolulu,2020,2020,TRK,SuperMassive Esports,Middle,21,52
---------x-,Broken Blade,2020,2020,NA,TSM,Top,6,13
---------x-,Bruce,2020,2020,PCS,Machi Esports,ADC,6,8
---------x-,Bugi,2020,2020,LJL,V3 Esports,Jungle,5,12
---------xx,Carzzy,2020,2020,EU,MAD Lions,ADC,21,70
---------x-,Dee,2020,2020,PCS,PSG Talon,ADC,3,9
---------x-,Doran,2020,2020,KR,DRX,Top,9,22
---------x-,Envy,2020,2020,BRL,INTZ,Middle,5,8
---------x-,Finn,2020,2020,EU,Rogue,Top,6,9
---------x-,Gadget,2020,2020,CIS,Unicorns of Love.CIS,ADC,14,44
---------xx,Ghost,2020,2020,KR,DWG KIA,ADC,36,138
---------x-,huanfeng,2020,2020,CN,Suning,ADC,19,76
---------x-,Inspired,2020,2020,EU,Rogue,Jungle,14,41
---------x-,Isles,2020,2020,OCE,Legacy Esports,Support,8,3
---------x-,Josedeodo,2020,2020,LLA,Rainbow7,Jungle,7,22
---------xx,Kaiser,2020,2020,EU,MAD Lions,Support,21,21
---------x-,Kanavi,2020,2020,CN,JD Gaming,Jungle,10,26
---------xx,Keria,2020,2020,KR,DRX,Support,23,20
---------x-,knight,2020,2020,CN,Top Esports,Middle,15,52
---------xx,Larssen,2020,2020,EU,Rogue,Middle,14,34
---------x-,Leza,2020,2020,LLA,Rainbow7,ADC,7,13
---------xx,Life,2020,2020,KR,Gen.G,Support,25,29
---------x-,LokeN,2020,2020,CN,JD Gaming,ADC,10,33
---------x-,LvMao,2020,2020,CN,JD Gaming,Support,10,17
---------x-,Mark,2020,2020,CN,LGD Gaming,Support,17,20
---------x-,Orome,2020,2020,EU,MAD Lions,Top,10,24
---------x-,Paz,2020,2020,LJL,V3 Esports,Top,5,8
---------x-,Pyosik,2020,2020,KR,DRX,Jungle,9,37
---------x-,Raes,2020,2020,OCE,Legacy Esports,ADC,8,34
---------x-,Raina,2020,2020,LJL,V3 Esports,Support,5,2
---------xx,River,2020,2020,PCS,PSG Talon,Jungle,12,26
---------xx,SaNTaS,2020,2020,CIS,Unicorns of Love.CIS,Support,19,10
---------x-,Selfmade,2020,2020,EU,Fnatic,Jungle,11,37
---------x-,shad0w,2020,2020,EU,MAD Lions,Jungle,10,26
---------x-,Shadow,2020,2020,LLA,Rainbow7,Support,7,5
---------x-,Shini,2020,2020,BRL,INTZ,Jungle,5,8
---------x-,SofM,2020,2020,CN,Suning,Jungle,19,53
---------x-,Solo,2020,2020,NA,FlyQuest,Top,6,7
---------x-,Spica,2020,2020,NA,TSM,Jungle,6,11
---------xx,Tactical,2020,2020,NA,Team Liquid,ADC,18,54
---------xx,Tally,2020,2020,OCE,Legacy Esports,Middle,20,54
---------x-,Tank,2020,2020,PCS,PSG Talon,Middle,6,10
---------x-,Tay,2020,2020,BRL,INTZ,Top,5,23
---------x-,Topoon,2020,2020,OCE,Legacy Esports,Top,8,21
---------x-,Yagao,2020,2020,CN,JD Gaming,Middle,10,23
---------x-,yuyanjia,2020,2020,CN,Top Esports,Support,15,9
---------x-,Zoom,2020,2020,CN,JD Gaming,Top,10,38
xx--xxxxxx-,Doublelift,2019,2011,NA,Team Liquid,ADC,47,113
-x----xxx--,Edward,2019,2012,CIS,Unicorns of Love.CIS,Support,34,23
--xxxxx-x-x,Faker,2019,2013,KR,T1,Middle,115,419
--x--xxxxx-,Impact,2019,2013,NA,Team Liquid,Top,86,210
--xx-x-xx--,Mata,2019,2013,KR,T1,Support,58,49
--xxxxxxx--,Sneaky,2019,2013,NA,Cloud9,ADC,78,248
--xx-xxxx--,Uzi,2019,2013,CN,Royal Never Give Up,ADC,81,399
--x-xxxxx--,Xmithie,2019,2013,NA,Team Liquid,Jungle,47,80
---xx-xxxx-,Rekkles,2019,2014,EU,Fnatic,ADC,75,277
---x-xxxx--,Svenskeren,2019,2014,NA,Cloud9,Jungle,34,97
----x---x--,brTT,2019,2015,BRL,Flamengo Esports,ADC,11,31
----x--xx--,G4,2019,2015,PCS,MEGA,Middle,14,35
----x-x-x--,Huni,2019,2015,NA,Clutch Gaming,Top,45,122
----xxxxxxx,Jensen,2019,2015,NA,Team Liquid,Middle,80,283
----xxxxxx-,Karsa,2019,2015,CN,Royal Never Give Up,Jungle,52,135
----x--xx--,Lloyd,2019,2015,PCS,MEGA,Jungle,14,20
----x--xx--,Rookie,2019,2015,NA,Invictus Gaming,Middle,38,146
----x------,Zin,2019,2015,VNM,GAM Esports,ADC,6,12
----xxx-x--,Ziv,2019,2015,PCS,ahq eSports Club,Top,28,60
-----xxxxxx,CoreJJ,2019,2016,NA,Team Liquid,Support,61,55
-----x-xxx-,Jankos,2019,2016,EU,G2 Esports,Jungle,69,190
-----x--x--,Kobbe,2019,2016,EU,Splyce,ADC,26,110
-----x--xx-,Mikyx,2019,2016,EU,G2 Esports,Support,38,34
-----xxxxxx,Perkz,2019,2016,EU,G2 Esports,ADC,86,316
-----x-xxx-,Wunder,2019,2016,EU,G2 Esports,Top,62,163
-----xxxx-x,Xiaohu,2019,2016,CN,Royal Never Give Up,Middle,55,140
------xxxx-,Broxah,2019,2017,EU,Fnatic,Jungle,57,156
------xxxx-,caPs,2019,2017,EU,G2 Esports,Middle,68,249
------x-x--,Cody Sun,2019,2017,NA,Clutch Gaming,ADC,21,71
------x-x--,Destiny,2019,2017,OCE,MAMMOTH,Support,10,6
------xxx-x,Evi,2019,2017,LJL,DetonatioN FocusMe,Top,27,56
------xxx--,k1ng,2019,2017,OCE,MAMMOTH,ADC,14,35
------x-xxx,Kaiwing,2019,2017,PCS,Hong Kong Attitude,Support,39,25
------x-x-x,Khan,2019,2017,KR,T1,Top,41,151
------x-x--,Levi,2019,2017,VNM,GAM Esports,Jungle,13,34
------xxx-x,Ming,2019,2017,CN,Royal Never Give Up,Support,45,32
------x-xx-,Mission,2019,2017,PCS,Hong Kong Attitude,Middle,28,58
------x-x--,Oddie,2019,2017,LAM,Isurus,Jungle,15,24
------x-x--,Seiya,2019,2017,LAM,Isurus,Middle,15,37
------xxx--,Slow,2019,2017,LAM,Isurus,Support,16,4
------x-xxx,Unified,2019,2017,PCS,Hong Kong Attitude,ADC,35,89
------x-x--,Venus,2019,2017,VNM,Lowkey Esports.Vietnam,Support,15,15
-------xx--,Baolan,2019,2018,NA,Invictus Gaming,Support,32,28
-------xx-x,Blaber,2019,2018,NA,Cloud9,Jungle,28,96
-------xxxx,Bwipo,2019,2018,EU,Fnatic,Top,40,112
-------xx--,Ceros,2019,2018,LJL,DetonatioN FocusMe,Middle,12,23
-------xxxx,Hylissang,2019,2018,EU,Fnatic,Support,44,37
-------xxx-,JackeyLove,2019,2018,NA,Invictus Gaming,ADC,47,201
-------xxx-,Koala,2019,2018,PCS,J Team,Support,26,28
-------xx--,Licorice,2019,2018,NA,Cloud9,Top,28,67
-------xx--,Ning,2019,2018,NA,Invictus Gaming,Jungle,29,73
-------xx--,Rockky,2019,2018,PCS,MEGA,Top,8,16
-------xx-x,Steal,2019,2018,LJL,DetonatioN FocusMe,Jungle,23,40
-------xx--,TheShy,2019,2018,NA,Invictus Gaming,Top,27,97
-------xx--,Triple,2019,2018,OCE,MAMMOTH,Middle,9,20
-------xx-x,Yutapon,2019,2018,LJL,DetonatioN FocusMe,ADC,23,79
-------xx--,Zeros,2019,2018,VNM,GAM Esports,Top,12,21
-------xx--,Zeyzal,2019,2018,NA,Cloud9,Support,28,20
--------x--,3z,2019,2019,PCS,Hong Kong Attitude,Top,14,23
--------xxx,AHaHaCiK,2019,2019,CIS,Unicorns of Love.CIS,Jungle,30,78
--------x--,Alex,2019,2019,PCS,ahq eSports Club,Jungle,6,9
--------x--,APEX,2019,2019,PCS,ahq eSports Club,Middle,1,1
--------xxx,Armut,2019,2019,TRK,Royal Youth,Top,31,98
--------x--,Artifact,2019,2019,VNM,Lowkey Esports.Vietnam,Middle,8,28
--------xxx,Babip,2019,2019,OCE,MAMMOTH,Jungle,25,69
--------xxx,BeryL,2019,2019,KR,DWG KIA,Support,54,59
--------xxx,BOSS,2019,2019,CIS,Unicorns of Love.CIS,Top,30,97
--------x-x,Buggax,2019,2019,LAM,Isurus,Top,12,47
--------xxx,Canyon,2019,2019,KR,DWG KIA,Jungle,64,193
--------x--,Celebrity,2019,2019,VNM,Lowkey Esports.Vietnam,ADC,8,32
--------xxx,Chovy,2019,2019,KR,Griffin,Middle,37,87
--------xxx,Clid,2019,2019,KR,T1,Jungle,39,111
--------x-x,Closer,2019,2019,TRK,Royal Youth,Jungle,14,32
--------x--,Crash,2019,2019,PCS,Hong Kong Attitude,Jungle,14,34
--------x--,Crisp,2019,2019,CN,FunPlus Phoenix,Support,18,23
